Legend: waktu, epoch 1970, epoch 1980, latitude, longitude, altitude, gx, gy, gz, ax, ay, az 
(2023-05-26_16-43-07.298, 1685094187.29612, 1369129387.29612, -7.316251333333334, 112.79027683333334, 30.3, 0.005598470568656921, 0.005922367796301842, -0.014070969074964523, 0.5993833541870117, 0.02096845582127571, -9.925819396972656) 
(2023-05-26_16-43-07.410, 1685094187.407666, 1369129387.407666, -7.316251333333334, 112.79027683333334, 30.3, -0.006596464663743973, 0.005771258845925331, 0.013345054350793362, 0.4804350733757019, 0.011527612805366516, -9.901742935180664) 
(2023-05-26_16-43-07.505, 1685094187.503192, 1369129387.503192, -7.316251333333334, 112.79027683333334, 30.3, -0.0035588033497333527, 0.0039700232446193695, 0.0060392869636416435, 0.5232645273208618, -0.036294013261795044, -9.8778715133667) 
(2023-05-26_16-43-07.613, 1685094187.611721, 1369129387.611721, -7.316251333333334, 112.79027683333334, 30.3, 0.002588018774986267, 0.006467172876000404, 0.002392408438026905, 0.4947986304759979, 0.011465325951576233, -9.983184814453125) 
(2023-05-26_16-43-07.696, 1685094187.691247, 1369129387.691247, -7.316236166666667, 112.79027583333334, 29.6, 0.008074374869465828, -0.003939889371395111, 0.004276921972632408, 0.7085247039794922, -0.055420972406864166, -9.624236106872559) 
(2023-05-26_16-43-07.793, 1685094187.786776, 1369129387.786776, -7.316236166666667, 112.79027583333334, 29.6, 0.0032594390213489532, 0.003955481573939323, 0.021320123225450516, 0.48505479097366333, -0.060066305100917816, -9.724571228027344) 
(2023-05-26_16-43-07.900, 1685094187.898299, 1369129387.898299, -7.316236166666667, 112.79027583333334, 29.6, -0.0042295269668102264, -0.008308915421366692, 0.00790723692625761, 0.5993202924728394, 0.049668192863464355, -9.892273902893066) 
(2023-05-26_16-43-07.996, 1685094187.993846, 1369129387.993846, -7.316236166666667, 112.79027583333334, 29.6, -0.015212145633995533, 0.005735164508223534, 0.010872605256736279, 0.5468915700912476, -0.06489454954862595, -9.71506404876709) 
(2023-05-26_16-43-08.142, 1685094188.136947, 1369129388.136947, -7.316236166666667, 112.79027583333334, 29.6, -0.004181167110800743, 0.003357313573360443, 0.004818524233996868, 0.6229440569877625, -0.055372245609760284, -9.667247772216797) 
(2023-05-26_16-43-08.282, 1685094188.280175, 1369129388.280175, -7.316236166666667, 112.79027583333334, 29.6, 0.0013244524598121643, -0.0015204362571239471, 0.0042442986741662025, 0.7370439767837524, 0.021008558571338654, -9.6625394821167) 
(2023-05-26_16-43-08.377, 1685094188.373998, 1369129388.373998, -7.316236166666667, 112.79027583333334, 29.6, 0.0006792191416025162, -0.010124286636710167, 0.00793114211410284, 0.5277571678161621, -0.012267053127288818, -9.662323951721191) 
(2023-05-26_16-43-08.507, 1685094188.505178, 1369129388.505178, -7.316236166666667, 112.79027583333334, 29.6, 0.004944741725921631, -0.0039065126329660416, -0.010990424081683159, 0.489967405796051, -0.002823278307914734, -9.9065523147583) 
(2023-05-26_16-43-08.609, 1685094188.608108, 1369129388.608108, -7.316236166666667, 112.79027583333334, 29.6, -0.013949912041425705, 0.014340194873511791, 0.007798253558576107, 0.49922993779182434, -0.09824753552675247, -9.60965633392334) 
(2023-05-26_16-43-08.705, 1685094188.703633, 1369129388.703633, -7.316236166666667, 112.79027583333334, 29.6, 0.011745600029826164, -0.002057015895843506, -0.003038438968360424, 0.5898150205612183, -0.0841013714671135, -9.796550750732422) 
(2023-05-26_16-43-08.785, 1685094188.783159, 1369129388.783159, -7.316236166666667, 112.79027583333334, 29.6, -0.006661778315901756, -0.005263809114694595, 0.010939599014818668, 0.6514596939086914, 0.006726443767547607, -9.691189765930176) 
(2023-05-26_16-43-08.863, 1685094188.862253, 1369129388.862253, -7.316236166666667, 112.79027583333334, 29.6, -0.014613347128033638, 0.01314735971391201, -0.003794687334448099, 0.6803576946258545, -0.0030457302927970886, -9.997771263122559) 
(2023-05-26_16-43-08.957, 1685094188.956217, 1369129388.956217, -7.316236166666667, 112.79027583333334, 29.6, 0.0007558520883321762, 0.01322583481669426, -0.0037384824827313423, 0.6801837682723999, -0.02683968096971512, -9.825355529785156) 
